!!		0.00197304	1.00000000	1.00000000
Ambiance		0.00131536	1.00000000	1.00000000
Amma		0.00131536	1.00000000	1.00000000
Avenue		0.00131536	1.00000000	1.00000000
BEST		0.00131536	1.00000000	1.00000000
Brooklyn		0.00197304	1.00000000	1.00000000
Cafe		0.00263071	1.00000000	1.00000000
Chicken		0.00230187	1.00000000	1.00000000
Chinatown		0.00427491	1.00000000	1.00000000
City		0.00295955	1.00000000	1.00000000
Decor		0.00164420	1.00000000	1.00000000
Dim		0.00131536	1.00000000	1.00000000
East		0.00295955	1.00000000	1.00000000
Everyone		0.00197304	1.00000000	1.00000000
Everything		0.00394607	1.00000000	1.00000000
FOOD		0.00131536	1.00000000	1.00000000
First		0.00131536	1.00000000	1.00000000
Fish		0.00164420	1.00000000	1.00000000
Food		0.00657678	1.00000000	1.00000000
Friday		0.00131536	1.00000000	1.00000000
Grand		0.00131536	1.00000000	1.00000000
Green		0.00131536	1.00000000	1.00000000
Haru		0.00197304	1.00000000	1.00000000
Heartland		0.00131536	1.00000000	1.00000000
House		0.00164420	1.00000000	1.00000000
Hyde		0.00131536	1.00000000	1.00000000
Jekyll		0.00164420	1.00000000	1.00000000
Jimmy		0.00197304	1.00000000	1.00000000
Joya		0.00164420	1.00000000	1.00000000
Kai		0.00164420	1.00000000	1.00000000
Katz		0.00197304	1.00000000	1.00000000
La		0.00230187	1.00000000	1.00000000
Lobster		0.00131536	1.00000000	1.00000000
Manhattan		0.00394607	1.00000000	1.00000000
Mizu		0.00164420	1.00000000	1.00000000
Murray		0.00131536	1.00000000	1.00000000
NOT		0.00131536	1.00000000	1.00000000
NY		0.00953634	1.00000000	1.00000000
NYC		0.01381125	1.00000000	1.00000000
New		0.00854982	1.00000000	1.00000000
Nothing		0.00131536	1.00000000	1.00000000
Orsay		0.00197304	1.00000000	1.00000000
PM		0.00164420	1.00000000	1.00000000
Pad		0.00197304	1.00000000	1.00000000
Paris		0.00164420	1.00000000	1.00000000
Park		0.00230187	1.00000000	1.00000000
Pizza		0.00559027	1.00000000	1.00000000
Prices		0.00131536	1.00000000	1.00000000
Queens		0.00131536	1.00000000	1.00000000
Rao		0.00197304	1.00000000	1.00000000
Restaurant		0.00164420	1.00000000	1.00000000
Roth		0.00164420	1.00000000	1.00000000
Sake		0.00131536	1.00000000	1.00000000
Saturday		0.00361723	1.00000000	1.00000000
Saul		0.00164420	1.00000000	1.00000000
Service		0.01019402	1.00000000	1.00000000
Shanghai		0.00131536	1.00000000	1.00000000
Sichuan		0.00164420	1.00000000	1.00000000
Side		0.00164420	1.00000000	1.00000000
Smith		0.00164420	1.00000000	1.00000000
Spice		0.00164420	1.00000000	1.00000000
Spicy		0.00131536	1.00000000	1.00000000
Square		0.00197304	1.00000000	1.00000000
St.		0.00164420	1.00000000	1.00000000
Stay		0.00131536	1.00000000	1.00000000
Street		0.00230187	1.00000000	1.00000000
Suan		0.00230187	1.00000000	1.00000000
Sum		0.00131536	1.00000000	1.00000000
Sunday		0.00197304	1.00000000	1.00000000
Sushi		0.00164420	1.00000000	1.00000000
Thai		0.01118053	1.00000000	1.00000000
Toons		0.00131536	1.00000000	1.00000000
Tuesday		0.00131536	1.00000000	1.00000000
UES		0.00131536	1.00000000	1.00000000
Upper		0.00131536	1.00000000	1.00000000
Village		0.00394607	1.00000000	1.00000000
Volare		0.00131536	1.00000000	1.00000000
York		0.00690562	1.00000000	1.00000000
addition		0.00164420	1.00000000	1.00000000
afternoon		0.00197304	1.00000000	1.00000000
alot		0.00131536	1.00000000	1.00000000
ambiance		0.00559027	1.00000000	1.00000000
ambience		0.00822098	1.00000000	1.00000000
amount		0.00263071	1.00000000	1.00000000
anniversary		0.00197304	1.00000000	1.00000000
anyone		0.00460375	1.00000000	1.00000000
anything		0.00460375	1.00000000	1.00000000
appetizer		0.00690562	1.00000000	1.00000000
appetizers		0.00559027	1.00000000	1.00000000
area		0.00822098	1.00000000	1.00000000
atmosphere		0.01709964	1.00000000	1.00000000
attitude		0.00164420	1.00000000	1.00000000
avenue		0.00131536	1.00000000	1.00000000
average		0.00263071	1.00000000	1.00000000
baby		0.00131536	1.00000000	1.00000000
bagel		0.00526143	1.00000000	1.00000000
bagels		0.00559027	1.00000000	1.00000000
bank		0.00131536	1.00000000	1.00000000
bar		0.01282473	1.00000000	1.00000000
bartender		0.00295955	1.00000000	1.00000000
basil		0.00131536	1.00000000	1.00000000
beef		0.00493259	1.00000000	1.00000000
beer		0.00427491	1.00000000	1.00000000
beers		0.00197304	1.00000000	1.00000000
bill		0.00460375	1.00000000	1.00000000
birthday		0.00427491	1.00000000	1.00000000
bistro		0.00328839	1.00000000	1.00000000
bit		0.01052285	1.00000000	1.00000000
bite		0.00263071	1.00000000	1.00000000
block		0.00328839	1.00000000	1.00000000
bottle		0.00295955	1.00000000	1.00000000
boyfriend		0.00394607	1.00000000	1.00000000
bread		0.00361723	1.00000000	1.00000000
brunch		0.00263071	1.00000000	1.00000000
bucks		0.00131536	1.00000000	1.00000000
buffet		0.00164420	1.00000000	1.00000000
buns		0.00164420	1.00000000	1.00000000
burger		0.00164420	1.00000000	1.00000000
business		0.00328839	1.00000000	1.00000000
cake		0.00197304	1.00000000	1.00000000
calamari		0.00131536	1.00000000	1.00000000
call		0.00131536	1.00000000	1.00000000
case		0.00164420	1.00000000	1.00000000
caviar		0.00131536	1.00000000	1.00000000
champagne		0.00131536	1.00000000	1.00000000
chance		0.00295955	1.00000000	1.00000000
check		0.00230187	1.00000000	1.00000000
cheese		0.00854982	1.00000000	1.00000000
chef		0.00559027	1.00000000	1.00000000
chicken		0.00986518	1.00000000	1.00000000
chips		0.00131536	1.00000000	1.00000000
chocolate		0.00361723	1.00000000	1.00000000
choice		0.00164420	1.00000000	1.00000000
choices		0.00361723	1.00000000	1.00000000
city		0.01052285	1.00000000	1.00000000
co-workers		0.00131536	1.00000000	1.00000000
cod		0.00131536	1.00000000	1.00000000
comfort		0.00164420	1.00000000	1.00000000
comparison		0.00131536	1.00000000	1.00000000
congee		0.00131536	1.00000000	1.00000000
conversation		0.00361723	1.00000000	1.00000000
cooking		0.00131536	1.00000000	1.00000000
corner		0.00197304	1.00000000	1.00000000
cost		0.00131536	1.00000000	1.00000000
couple		0.00460375	1.00000000	1.00000000
course		0.00559027	1.00000000	1.00000000
courses		0.00131536	1.00000000	1.00000000
crab		0.00164420	1.00000000	1.00000000
cream		0.00230187	1.00000000	1.00000000
crowd		0.00230187	1.00000000	1.00000000
crust		0.00230187	1.00000000	1.00000000
cuisine		0.00657678	1.00000000	1.00000000
curry		0.00361723	1.00000000	1.00000000
customer		0.00295955	1.00000000	1.00000000
customers		0.00230187	1.00000000	1.00000000
date		0.00756330	1.00000000	1.00000000
day		0.00328839	1.00000000	1.00000000
deal		0.00493259	1.00000000	1.00000000
decor		0.00822098	1.00000000	1.00000000
deli		0.00197304	1.00000000	1.00000000
delight		0.00197304	1.00000000	1.00000000
delivery		0.00394607	1.00000000	1.00000000
dessert		0.00789214	1.00000000	1.00000000
desserts		0.00328839	1.00000000	1.00000000
dining		0.00789214	1.00000000	1.00000000
dinner		0.02466294	1.00000000	1.00000000
disappointment		0.00164420	1.00000000	1.00000000
dish		0.00953634	1.00000000	1.00000000
dishes		0.01611312	1.00000000	1.00000000
door		0.00427491	1.00000000	1.00000000
doubt		0.00164420	1.00000000	1.00000000
downtown		0.00131536	1.00000000	1.00000000
drink		0.00394607	1.00000000	1.00000000
drinks		0.01183821	1.00000000	1.00000000
duck		0.00197304	1.00000000	1.00000000
dumplings		0.00460375	1.00000000	1.00000000
effort		0.00131536	1.00000000	1.00000000
eggplant		0.00131536	1.00000000	1.00000000
eggs		0.00131536	1.00000000	1.00000000
employees		0.00131536	1.00000000	1.00000000
end		0.00230187	1.00000000	1.00000000
entertainment		0.00131536	1.00000000	1.00000000
entrees		0.00263071	1.00000000	1.00000000
establishment		0.00197304	1.00000000	1.00000000
evening		0.00460375	1.00000000	1.00000000
everyone		0.00361723	1.00000000	1.00000000
everything		0.00920750	1.00000000	1.00000000
experience		0.01874383	1.00000000	1.00000000
experiences		0.00131536	1.00000000	1.00000000
fact		0.00361723	1.00000000	1.00000000
families		0.00131536	1.00000000	1.00000000
family		0.00624794	1.00000000	1.00000000
fan		0.00197304	1.00000000	1.00000000
fare		0.00263071	1.00000000	1.00000000
favorite		0.00164420	1.00000000	1.00000000
favorites		0.00164420	1.00000000	1.00000000
feeling		0.00197304	1.00000000	1.00000000
fish		0.00986518	1.00000000	1.00000000
fix		0.00131536	1.00000000	1.00000000
fixe		0.00131536	1.00000000	1.00000000
flavor		0.00394607	1.00000000	1.00000000
flavors		0.00164420	1.00000000	1.00000000
folks		0.00131536	1.00000000	1.00000000
food		0.13646827	1.00000000	1.00000000
foods		0.00230187	1.00000000	1.00000000
freshness		0.00131536	1.00000000	1.00000000
friend		0.00953634	1.00000000	1.00000000
friends		0.01479776	1.00000000	1.00000000
fries		0.00164420	1.00000000	1.00000000
front		0.00164420	1.00000000	1.00000000
fun		0.00624794	1.00000000	1.00000000
fusion		0.00230187	1.00000000	1.00000000
garden		0.00230187	1.00000000	1.00000000
garlic		0.00164420	1.00000000	1.00000000
gem		0.00328839	1.00000000	1.00000000
